,focal_resource,scientific,sg_dep_reclass
0,01,Sillago sihama,0
1,02,Gerres oyena,0
2,03,Gerres longirostris,1
3,04,Terapon jarbua,2
4,06,Crenidens crenidens,2
5,07,Caranginae,0
6,10,Rastrellinger kanagurta,0
7,11,Amblygaster sirm,0
8,37,,0
9,50,Portunus pelagicus,2
10,52,scylla serrata ,0
11,53,Penaeus monodon,0
12,54,Loliginidae,1
13,55,Sepiidae,2
14,56,Penaeidae,1
15,60,Pinna muricata,2
16,61,Margaritidae,2
17,63,Tapes literatus,0
18,64,Siliqua polita,0
19,68,Solenidae,0
20,69,Garfarium pectinatum,0
21,70,Serratina capsoides,0
22,71,Callista florida,2
23,74,Potamididae,0
24,78,Volema pyrum,0
